id,clockCycles,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_84,14761,14944,68006,49128,416638,100.00,100.00,50.00,100.00,0.988,0.217,0.300,0.035
values_30,4107,4330,19235,13938,74995,100.00,100.00,50.00,100.00,0.948,0.214,0.295,0.055
values_96,70437,65934,304771,220578,3001703,100.00,100.00,50.00,100.00,1.068,0.231,0.319,0.023
values_15,189,384,1471,1122,3557,100.00,100.00,50.00,100.00,0.492,0.128,0.168,0.053
values_16,6179,6819,30616,22142,142009,100.00,100.00,50.00,100.00,0.906,0.202,0.279,0.044
values_94,189,384,1471,1122,3557,100.00,100.00,50.00,100.00,0.492,0.128,0.168,0.053
values_90,6179,6819,30616,22142,142009,100.00,100.00,50.00,100.00,0.906,0.202,0.279,0.044
values_52,14761,14944,68006,49128,416638,100.00,100.00,50.00,100.00,0.988,0.217,0.300,0.035
values_78,88339,83935,388676,281454,4116925,100.00,100.00,50.00,100.00,1.052,0.227,0.314,0.021
values_20,58,180,610,484,567,100.00,100.00,50.00,100.00,0.322,0.095,0.120,0.102
values_53,70437,65934,304771,220578,3001703,100.00,100.00,50.00,100.00,1.068,0.231,0.319,0.023
values_43,211290,194949,907486,658478,649227,100.00,100.00,50.00,100.00,1.084,0.233,0.321,0.325
values_42,883,1479,6316,4628,53106,100.00,100.00,50.00,100.00,0.597,0.140,0.191,0.017
values_0,40754,38779,178436,129012,1491946,100.00,100.00,50.00,100.00,1.051,0.228,0.316,0.027
values_61,88339,83935,388676,281454,4116925,100.00,100.00,50.00,100.00,1.052,0.227,0.314,0.021
values_97,4107,4330,19235,13938,74995,100.00,100.00,50.00,100.00,0.948,0.214,0.295,0.055
values_14,70437,65934,304771,220578,3001703,100.00,100.00,50.00,100.00,1.068,0.231,0.319,0.023
values_87,205980,160456,746111,541122,532912,100.00,100.00,50.00,100.00,1.284,0.276,0.381,0.387
values_50,30023,28905,132610,95838,1010027,100.00,100.00,50.00,100.00,1.039,0.226,0.313,0.030
values_83,54065,51006,235276,170192,2142256,100.00,100.00,50.00,100.00,1.060,0.230,0.318,0.025
values_67,1566,2610,11416,8304,44046,100.00,100.00,50.00,100.00,0.600,0.137,0.189,0.036
values_86,21693,21060,96271,69554,661549,100.00,100.00,50.00,100.00,1.030,0.225,0.312,0.033
values_23,40754,38779,178436,129012,1491946,100.00,100.00,50.00,100.00,1.051,0.228,0.316,0.027
values_64,40754,38779,178436,129012,1491946,100.00,100.00,50.00,100.00,1.051,0.228,0.316,0.027
values_44,211290,194949,907486,658478,649227,100.00,100.00,50.00,100.00,1.084,0.233,0.321,0.325
values_71,140060,130764,607306,440232,432984,100.00,100.00,50.00,100.00,1.071,0.231,0.318,0.323
values_93,14761,14944,68006,49128,416638,100.00,100.00,50.00,100.00,0.988,0.217,0.300,0.035
values_88,10173,10281,46516,33612,250352,100.00,100.00,50.00,100.00,0.989,0.219,0.303,0.041
values_26,10173,10281,46516,33612,250352,100.00,100.00,50.00,100.00,0.989,0.219,0.303,0.041
values_59,6179,6819,30616,22142,142009,100.00,100.00,50.00,100.00,0.906,0.202,0.279,0.044
values_57,4107,4330,19235,13938,74995,100.00,100.00,50.00,100.00,0.948,0.214,0.295,0.055
values_82,30023,28905,132610,95838,1010027,100.00,100.00,50.00,100.00,1.039,0.226,0.313,0.030
values_75,54065,51006,235276,170192,2142256,100.00,100.00,50.00,100.00,1.060,0.230,0.318,0.025
values_51,58,180,610,484,567,100.00,100.00,50.00,100.00,0.322,0.095,0.120,0.102
values_7,205980,160456,746111,541122,532912,100.00,100.00,50.00,100.00,1.284,0.276,0.381,0.387
values_92,1566,2610,11416,8304,44046,100.00,100.00,50.00,100.00,0.600,0.137,0.189,0.036
values_56,1566,2610,11416,8304,44046,100.00,100.00,50.00,100.00,0.600,0.137,0.189,0.036
values_47,4107,4330,19235,13938,74995,100.00,100.00,50.00,100.00,0.948,0.214,0.295,0.055
values_95,4107,4330,19235,13938,74995,100.00,100.00,50.00,100.00,0.948,0.214,0.295,0.055
values_98,1566,2610,11416,8304,44046,100.00,100.00,50.00,100.00,0.600,0.137,0.189,0.036
values_8,30023,28905,132610,95838,1010027,100.00,100.00,50.00,100.00,1.039,0.226,0.313,0.030
values_18,211290,194949,907486,658478,649227,100.00,100.00,50.00,100.00,1.084,0.233,0.321,0.325
values_28,6179,6819,30616,22142,142009,100.00,100.00,50.00,100.00,0.906,0.202,0.279,0.044
values_81,54065,51006,235276,170192,2142256,100.00,100.00,50.00,100.00,1.060,0.230,0.318,0.025
values_17,6179,6819,30616,22142,142009,100.00,100.00,50.00,100.00,0.906,0.202,0.279,0.044
values_38,211290,194949,907486,658478,649227,100.00,100.00,50.00,100.00,1.084,0.233,0.321,0.325
values_41,6179,6819,30616,22142,142009,100.00,100.00,50.00,100.00,0.906,0.202,0.279,0.044
values_73,205980,160456,746111,541122,532912,100.00,100.00,50.00,100.00,1.284,0.276,0.381,0.387
values_66,21693,21060,96271,69554,661549,100.00,100.00,50.00,100.00,1.030,0.225,0.312,0.033
values_58,14761,14944,68006,49128,416638,100.00,100.00,50.00,100.00,0.988,0.217,0.300,0.035
values_70,30023,28905,132610,95838,1010027,100.00,100.00,50.00,100.00,1.039,0.226,0.313,0.030
values_46,6179,6819,30616,22142,142009,100.00,100.00,50.00,100.00,0.906,0.202,0.279,0.044
values_11,189,384,1471,1122,3557,100.00,100.00,50.00,100.00,0.492,0.128,0.168,0.053
values_33,883,1479,6316,4628,53106,100.00,100.00,50.00,100.00,0.597,0.140,0.191,0.017
values_72,211290,194949,907486,658478,649227,100.00,100.00,50.00,100.00,1.084,0.233,0.321,0.325
values_6,430,781,3206,2382,16172,100.00,100.00,50.00,100.00,0.551,0.134,0.181,0.027
values_10,211290,194949,907486,658478,649227,100.00,100.00,50.00,100.00,1.084,0.233,0.321,0.325
values_27,189,384,1471,1122,3557,100.00,100.00,50.00,100.00,0.492,0.128,0.168,0.053
values_24,205980,160456,746111,541122,532912,100.00,100.00,50.00,100.00,1.284,0.276,0.381,0.387
values_3,14761,14944,68006,49128,416638,100.00,100.00,50.00,100.00,0.988,0.217,0.300,0.035
values_69,114014,105405,488860,354188,5541220,100.00,100.00,50.00,100.00,1.082,0.233,0.322,0.021
values_36,140060,130764,607306,440232,432984,100.00,100.00,50.00,100.00,1.071,0.231,0.318,0.323
values_21,6179,6819,30616,22142,142009,100.00,100.00,50.00,100.00,0.906,0.202,0.279,0.044
values_5,10173,10281,46516,33612,250352,100.00,100.00,50.00,100.00,0.989,0.219,0.303,0.041
values_49,6179,6819,30616,22142,142009,100.00,100.00,50.00,100.00,0.906,0.202,0.279,0.044
