inputName,Total_Operators,Distinct_Operators,Total_Operands,Distinct_Operands,Program_Length,Vocabulary_Size,Program_Volume,Effort,Program_Level,Difficulty_Level,Time_To_Implement,Bugs_Delivered,Sloc,Decision_Point,Global_Variables,If,Loop,Goto,Assignment,Exit_Point,Function,Function_Call,Pointer_Dereferencing,Cyclomatic_Complexity,Syntactically_Reachable_Functions,Semantically_Reached_Functions,Coverage_Estimation,Main_Statements,==,!=,>,<,>=,<=,||,&&,++,--,=,-,*,/,%,+=,-=,*=,/=,%=,&,|,&=,^=,|=,<<,<<=,>>,>>=,+,^,~,+( ),-( ),!( ),~( ),For,While,Switch,Case,Break,Continue,Do,Char,short,int,double,float,long,signed,unsigned,[],array,struct,int8_t,uint8_t,int16_t,uint16_t,int32_t,uint32_t,int64_t,uint64_t,TARGET_TYPE,TARGET_INDEX,CFC,IOR,CR,DR_char_string,DR_int_real,DR_gpp,STR,LR,BMR,DR_bit,Agpp,Aasp
values_84,2075 ,65 ,1328 ,1092 ,3403 ,1157 ,34629.52 ,1368690.44 ,0.03 ,39.52 ,76038.36 ,4.11 ,101,19,8,19,7,3,38,9,9,10,9,28,9,9,100.0,2,2,4,3,8,1,1,0,4,7,1,4,483,14,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,1,0,0,1,0,0,12,4,84,0,0,22,15,38,47,6,1,0,1,0,0,2,0,0,0,5,4,0.4752475247524752,0,0.4059405940594059,0.009036144578313253,0.09186746987951808,0.10090361445783133,0.0007530120481927711,0.06930693069306931,0.0019277108433734939,0.09186746987951808,0.6480633765704248,0.10548800017373154
values_30,810 ,65 ,488 ,252 ,1298 ,317 ,10784.22 ,678721.40 ,0.02 ,62.94 ,37706.74 ,2.57 ,101,19,8,19,7,3,38,9,9,10,9,28,9,8,88.9 ,2,2,4,3,8,1,1,0,4,7,1,4,78,14,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,1,0,0,1,0,0,12,4,84,0,0,22,15,38,47,6,1,0,1,0,0,2,0,0,0,5,4,0.4752475247524752,0,0.4059405940594059,0.02459016393442623,0.25,0.27459016393442626,0.0020491803278688526,0.06930693069306931,0.0049382716049382715,0.25,0.7908456522415811,0.3718334834394717
values_96,1289 ,65 ,808 ,572 ,2097 ,637 ,19533.87 ,896782.15 ,0.02 ,45.91 ,49821.23 ,3.10 ,101,19,8,19,7,3,38,9,9,10,9,28,9,9,100.0,2,2,4,3,8,1,1,0,4,7,1,4,227,14,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,1,0,0,1,0,0,12,4,84,0,0,22,15,38,47,6,1,0,1,0,0,2,0,0,0,5,4,0.4752475247524752,0,0.4059405940594059,0.01485148514851485,0.15099009900990099,0.16584158415841582,0.0012376237623762376,0.06930693069306931,0.0031031807602792862,0.15099009900990099,0.7130295347654649,0.1935462451210575
values_15,1168 ,65 ,728 ,492 ,1896 ,557 ,17294.43 ,831679.18 ,0.02 ,48.09 ,46204.40 ,2.95 ,101,19,8,19,7,3,38,9,9,10,9,28,9,8,88.9 ,2,2,4,3,8,1,1,0,4,7,1,4,188,14,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,1,0,0,1,0,0,12,4,84,0,0,22,15,38,47,6,1,0,1,0,0,2,0,0,0,5,4,0.4752475247524752,0,0.4059405940594059,0.016483516483516484,0.16758241758241757,0.18406593406593405,0.0013736263736263737,0.06930693069306931,0.003424657534246575,0.16758241758241757,0.7284884543103286,0.2217097802149089
values_16,1185 ,65 ,728 ,492 ,1913 ,557 ,17449.49 ,839136.22 ,0.02 ,48.09 ,46618.68 ,2.97 ,101,19,8,19,7,3,38,9,9,10,9,28,9,9,100.0,2,2,4,3,8,1,1,0,4,7,1,4,205,14,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,1,0,0,1,0,0,12,4,84,0,0,22,15,38,47,6,1,0,1,0,0,2,0,0,0,5,4,0.4752475247524752,0,0.4059405940594059,0.016483516483516484,0.16758241758241757,0.18406593406593405,0.0013736263736263737,0.06930693069306931,0.0033755274261603376,0.16758241758241757,0.7284884543103286,0.2216262786290014
values_94,1300 ,65 ,808 ,572 ,2108 ,637 ,19636.34 ,901486.30 ,0.02 ,45.91 ,50082.57 ,3.11 ,101,19,8,19,7,3,38,9,9,10,9,28,9,8,88.9 ,2,2,4,3,8,1,1,0,4,7,1,4,238,14,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,1,0,0,1,0,0,12,4,84,0,0,22,15,38,47,6,1,0,1,0,0,2,0,0,0,5,4,0.4752475247524752,0,0.4059405940594059,0.01485148514851485,0.15099009900990099,0.16584158415841582,0.0012376237623762376,0.06930693069306931,0.003076923076923077,0.15099009900990099,0.7130295347654649,0.1935034986518389
values_90,1301 ,65 ,808 ,572 ,2109 ,637 ,19645.65 ,901913.95 ,0.02 ,45.91 ,50106.33 ,3.11 ,101,19,8,19,7,3,38,9,9,10,9,28,9,8,88.9 ,2,2,4,3,8,1,1,0,4,7,1,4,239,14,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,1,0,0,1,0,0,12,4,84,0,0,22,15,38,47,6,1,0,1,0,0,2,0,0,0,5,4,0.4752475247524752,0,0.4059405940594059,0.01485148514851485,0.15099009900990099,0.16584158415841582,0.0012376237623762376,0.06930693069306931,0.0030745580322828594,0.15099009900990099,0.7130295347654649,0.19349964861113186
values_52,1507 ,65 ,943 ,707 ,2450 ,772 ,23501.52 ,1018759.30 ,0.02 ,43.35 ,56597.74 ,3.37 ,101,19,8,19,7,3,38,9,9,10,9,28,9,9,100.0,2,2,4,3,8,1,1,0,4,7,1,4,307,14,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,1,0,0,1,0,0,12,4,84,0,0,22,15,38,47,6,1,0,1,0,0,2,0,0,0,5,4,0.4752475247524752,0,0.4059405940594059,0.012725344644750796,0.12937433722163308,0.1420996818663839,0.0010604453870625664,0.06930693069306931,0.0026542800265428003,0.12937433722163308,0.6911544241443365,0.15884890842856356
values_78,1996 ,65 ,1267 ,1031 ,3263 ,1096 ,32949.88 ,1315997.70 ,0.03 ,39.94 ,73110.98 ,4.00 ,101,19,8,19,7,3,38,9,9,10,9,28,9,8,88.9 ,2,2,4,3,8,1,1,0,4,7,1,4,466,14,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,1,0,0,1,0,0,12,4,84,0,0,22,15,38,47,6,1,0,1,0,0,2,0,0,0,5,4,0.4752475247524752,0,0.4059405940594059,0.009471191791633781,0.0962904498816101,0.10576164167324388,0.0007892659826361484,0.06930693069306931,0.002004008016032064,0.0962904498816101,0.6535051576734379,0.11127193139562108
values_20,1911 ,65 ,1208 ,972 ,3119 ,1037 ,31246.77 ,1262086.47 ,0.02 ,40.39 ,70115.91 ,3.89 ,101,19,8,19,7,3,38,9,9,10,9,28,9,9,100.0,2,2,4,3,8,1,1,0,4,7,1,4,441,14,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,1,0,0,1,0,0,12,4,84,0,0,22,15,38,47,6,1,0,1,0,0,2,0,0,0,5,4,0.4752475247524752,0,0.4059405940594059,0.009933774834437087,0.10099337748344371,0.11092715231788079,0.0008278145695364238,0.06930693069306931,0.0020931449502878076,0.10099337748344371,0.65918262955091,0.11758409809695776
