id,clockCycles,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_84,63,98,242,240,355,100.00,80.00,50.00,100.00,0.643,0.260,0.263,0.177
values_30,41,55,137,139,206,100.00,80.00,50.00,100.00,0.745,0.299,0.295,0.199
values_96,79,107,277,288,422,100.00,80.00,50.00,100.00,0.738,0.285,0.274,0.187
values_15,29,50,114,105,159,100.00,80.00,50.00,100.00,0.580,0.254,0.276,0.182
values_16,25,39,89,83,126,100.00,80.00,50.00,100.00,0.641,0.281,0.301,0.198
values_94,65,107,261,255,378,100.00,80.00,50.00,100.00,0.607,0.249,0.255,0.172
values_90,49,98,226,207,311,100.00,80.00,50.00,100.00,0.500,0.217,0.237,0.158
values_52,23,44,96,84,129,100.00,80.00,50.00,100.00,0.523,0.240,0.274,0.178
values_78,45,87,201,185,278,100.00,80.00,50.00,100.00,0.517,0.224,0.243,0.162
values_20,65,107,261,255,378,100.00,80.00,50.00,100.00,0.607,0.249,0.255,0.172
values_53,27,48,108,98,149,100.00,80.00,50.00,100.00,0.562,0.250,0.276,0.181
values_43,39,74,170,156,235,100.00,80.00,50.00,100.00,0.527,0.229,0.250,0.166
values_42,41,62,150,147,219,100.00,80.00,50.00,100.00,0.661,0.273,0.279,0.187
values_0,57,106,250,235,351,100.00,80.00,50.00,100.00,0.538,0.228,0.243,0.162
values_61,49,84,200,191,285,100.00,80.00,50.00,100.00,0.583,0.245,0.257,0.172
values_97,43,64,156,154,229,100.00,80.00,50.00,100.00,0.672,0.276,0.279,0.188
values_14,55,90,218,212,315,100.00,80.00,50.00,100.00,0.611,0.252,0.259,0.175
values_87,45,73,175,169,252,100.00,80.00,50.00,100.00,0.616,0.257,0.266,0.179
values_50,61,103,249,241,358,100.00,80.00,50.00,100.00,0.592,0.245,0.253,0.170
values_83,49,77,187,183,272,100.00,80.00,50.00,100.00,0.636,0.262,0.268,0.180
values_67,51,65,167,174,256,100.00,80.00,50.00,100.00,0.785,0.305,0.293,0.199
values_86,51,86,206,198,295,100.00,80.00,50.00,100.00,0.593,0.248,0.258,0.173
values_23,43,78,182,170,255,100.00,80.00,50.00,100.00,0.551,0.236,0.253,0.169
values_64,63,98,242,240,355,100.00,80.00,50.00,100.00,0.643,0.260,0.263,0.177
values_44,55,90,218,212,315,100.00,80.00,50.00,100.00,0.611,0.252,0.259,0.175
values_71,61,82,210,217,319,100.00,80.00,50.00,100.00,0.744,0.290,0.281,0.191
values_93,77,98,258,273,399,100.00,80.00,50.00,100.00,0.786,0.298,0.282,0.193
values_88,49,105,239,215,324,100.00,80.00,50.00,100.00,0.467,0.205,0.228,0.151
values_26,45,87,201,185,278,100.00,80.00,50.00,100.00,0.517,0.224,0.243,0.162
values_59,21,28,64,61,93,100.00,80.00,50.00,100.00,0.750,0.328,0.344,0.226
values_57,19,33,71,62,96,100.00,80.00,50.00,100.00,0.576,0.268,0.306,0.198
values_82,49,84,200,191,285,100.00,80.00,50.00,100.00,0.583,0.245,0.257,0.172
values_75,71,85,227,244,356,100.00,80.00,50.00,100.00,0.835,0.313,0.291,0.199
values_51,53,88,212,205,305,100.00,80.00,50.00,100.00,0.602,0.250,0.259,0.174
values_7,43,64,156,154,229,100.00,80.00,50.00,100.00,0.672,0.276,0.279,0.188
values_92,53,74,186,189,279,100.00,80.00,50.00,100.00,0.716,0.285,0.280,0.190
values_56,47,75,181,176,262,100.00,80.00,50.00,100.00,0.627,0.260,0.267,0.179
values_47,35,63,145,134,202,100.00,80.00,50.00,100.00,0.556,0.241,0.261,0.173
values_95,65,86,222,231,339,100.00,80.00,50.00,100.00,0.756,0.293,0.281,0.192
values_98,49,84,200,191,285,100.00,80.00,50.00,100.00,0.583,0.245,0.257,0.172
values_8,49,77,187,183,272,100.00,80.00,50.00,100.00,0.636,0.262,0.268,0.180
values_18,27,41,95,90,136,100.00,80.00,50.00,100.00,0.659,0.284,0.300,0.199
values_28,149,163,461,517,746,100.00,80.00,50.00,100.00,0.914,0.323,0.288,0.200
values_81,51,93,219,206,308,100.00,80.00,50.00,100.00,0.548,0.233,0.248,0.166
values_17,35,63,145,134,202,100.00,80.00,50.00,100.00,0.556,0.241,0.261,0.173
values_38,37,58,138,133,199,100.00,80.00,50.00,100.00,0.638,0.268,0.278,0.186
values_41,49,84,200,191,285,100.00,80.00,50.00,100.00,0.583,0.245,0.257,0.172
values_73,41,76,176,163,245,100.00,80.00,50.00,100.00,0.539,0.233,0.252,0.167
values_66,27,55,121,106,162,100.00,80.00,50.00,100.00,0.491,0.223,0.255,0.167
values_58,41,62,150,147,219,100.00,80.00,50.00,100.00,0.661,0.273,0.279,0.187
values_70,57,106,250,235,351,100.00,80.00,50.00,100.00,0.538,0.228,0.243,0.162
values_46,25,39,89,83,126,100.00,80.00,50.00,100.00,0.641,0.281,0.301,0.198
values_11,49,84,200,191,285,100.00,80.00,50.00,100.00,0.583,0.245,0.257,0.172
values_33,41,62,150,147,219,100.00,80.00,50.00,100.00,0.661,0.273,0.279,0.187
values_72,45,66,162,161,239,100.00,80.00,50.00,100.00,0.682,0.278,0.280,0.188
values_6,35,63,145,134,202,100.00,80.00,50.00,100.00,0.556,0.241,0.261,0.173
values_10,55,97,231,220,328,100.00,80.00,50.00,100.00,0.567,0.238,0.250,0.168
values_27,41,62,150,147,219,100.00,80.00,50.00,100.00,0.661,0.273,0.279,0.187
values_24,51,114,258,230,347,100.00,80.00,50.00,100.00,0.447,0.198,0.222,0.147
values_3,77,91,245,265,386,100.00,80.00,50.00,100.00,0.846,0.314,0.291,0.199
values_69,51,65,167,174,256,100.00,80.00,50.00,100.00,0.785,0.305,0.293,0.199
values_36,47,68,168,168,249,100.00,80.00,50.00,100.00,0.691,0.280,0.280,0.189
values_21,49,98,226,207,311,100.00,80.00,50.00,100.00,0.500,0.217,0.237,0.158
values_5,65,79,209,223,326,100.00,80.00,50.00,100.00,0.823,0.311,0.291,0.199
values_49,29,43,101,97,146,100.00,80.00,50.00,100.00,0.674,0.287,0.299,0.199
values_1,61,89,223,225,332,100.00,80.00,50.00,100.00,0.685,0.274,0.271,0.184
values_2,53,67,173,181,266,100.00,80.00,50.00,100.00,0.791,0.306,0.293,0.199
values_13,39,74,170,156,235,100.00,80.00,50.00,100.00,0.527,0.229,0.250,0.166
values_32,25,46,102,91,139,100.00,80.00,50.00,100.00,0.543,0.245,0.275,0.180
values_39,27,41,95,90,136,100.00,80.00,50.00,100.00,0.659,0.284,0.300,0.199
values_4,53,102,238,221,331,100.00,80.00,50.00,100.00,0.520,0.223,0.240,0.160
values_65,39,53,131,132,196,100.00,80.00,50.00,100.00,0.736,0.298,0.295,0.199
values_85,75,96,252,266,389,100.00,80.00,50.00,100.00,0.781,0.298,0.282,0.193
values_62,29,50,114,105,159,100.00,80.00,50.00,100.00,0.580,0.254,0.276,0.182
values_91,55,97,231,220,328,100.00,80.00,50.00,100.00,0.567,0.238,0.250,0.168
values_25,57,78,198,203,299,100.00,80.00,50.00,100.00,0.731,0.288,0.281,0.191
values_63,41,76,176,163,245,100.00,80.00,50.00,100.00,0.539,0.233,0.252,0.167
values_12,41,62,150,147,219,100.00,80.00,50.00,100.00,0.661,0.273,0.279,0.187
values_79,119,126,358,404,583,100.00,80.00,50.00,100.00,0.944,0.332,0.295,0.204
values_54,49,70,174,175,259,100.00,80.00,50.00,100.00,0.700,0.282,0.280,0.189
values_9,103,117,323,356,516,100.00,80.00,50.00,100.00,0.880,0.319,0.289,0.200
values_74,53,95,225,213,318,100.00,80.00,50.00,100.00,0.558,0.236,0.249,0.167
values_22,43,78,182,170,255,100.00,80.00,50.00,100.00,0.551,0.236,0.253,0.169
values_89,121,135,377,419,606,100.00,80.00,50.00,100.00,0.896,0.321,0.289,0.200
values_48,27,41,95,90,136,100.00,80.00,50.00,100.00,0.659,0.284,0.300,0.199
values_99,101,115,317,349,506,100.00,80.00,50.00,100.00,0.878,0.319,0.289,0.200
values_60,41,76,176,163,245,100.00,80.00,50.00,100.00,0.539,0.233,0.252,0.167
values_34,61,89,223,225,332,100.00,80.00,50.00,100.00,0.685,0.274,0.271,0.184
values_31,55,76,192,196,289,100.00,80.00,50.00,100.00,0.724,0.286,0.281,0.190
values_37,35,70,158,142,215,100.00,80.00,50.00,100.00,0.500,0.222,0.246,0.163
values_76,57,92,224,219,325,100.00,80.00,50.00,100.00,0.620,0.254,0.260,0.175
values_19,29,43,101,97,146,100.00,80.00,50.00,100.00,0.674,0.287,0.299,0.199
values_45,29,50,114,105,159,100.00,80.00,50.00,100.00,0.580,0.254,0.276,0.182
values_68,19,33,71,62,96,100.00,80.00,50.00,100.00,0.576,0.268,0.306,0.198
values_35,27,41,95,90,136,100.00,80.00,50.00,100.00,0.659,0.284,0.300,0.199
values_80,53,95,225,213,318,100.00,80.00,50.00,100.00,0.558,0.236,0.249,0.167
values_77,43,78,182,170,255,100.00,80.00,50.00,100.00,0.551,0.236,0.253,0.169
values_29,85,99,269,293,426,100.00,80.00,50.00,100.00,0.859,0.316,0.290,0.200
values_55,17,24,52,47,73,100.00,80.00,50.00,100.00,0.708,0.327,0.362,0.233
values_40,55,97,231,220,328,100.00,80.00,50.00,100.00,0.567,0.238,0.250,0.168
