inputName,Total_Operators,Distinct_Operators,Total_Operands,Distinct_Operands,Program_Length,Vocabulary_Size,Program_Volume,Effort,Program_Level,Difficulty_Level,Time_To_Implement,Bugs_Delivered,Sloc,Decision_Point,Global_Variables,If,Loop,Goto,Assignment,Exit_Point,Function,Function_Call,Pointer_Dereferencing,Cyclomatic_Complexity,Syntactically_Reachable_Functions,Semantically_Reached_Functions,Coverage_Estimation,Main_Statements,==,!=,>,<,>=,<=,||,&&,++,--,=,-,*,/,%,+=,-=,*=,/=,%=,&,|,&=,^=,|=,<<,<<=,>>,>>=,+,^,~,+( ),-( ),!( ),~( ),For,While,Switch,Case,Break,Continue,Do,Char,short,int,double,float,long,signed,unsigned,[],array,struct,int8_t,uint8_t,int16_t,uint16_t,int32_t,uint32_t,int64_t,uint64_t,TARGET_TYPE,TARGET_INDEX,CFC,IOR,CR,DR_char_string,DR_int_real,DR_gpp,STR,LR,BMR,DR_bit,Agpp,Aasp
values_84,179 ,29 ,76 ,40 ,255 ,69 ,1557.67 ,42913.91 ,0.04 ,27.55 ,2384.11 ,0.41 ,22,3,1,3,2,0,11,2,2,1,0,5,2,2,100.0,2,0,0,0,3,0,0,0,0,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,1,0,0,1,0,0,0,0,2,0,1,1,0.36363636363636365,0,0.2727272727272727,0.07894736842105263,0.4605263157894737,0.5394736842105263,0.0,0.09090909090909091,0.0,0.4605263157894737,0.8497173300182767,0.6933803599476972
values_30,172 ,29 ,67 ,31 ,239 ,60 ,1411.75 ,44242.32 ,0.03 ,31.34 ,2457.91 ,0.42 ,22,3,1,3,2,0,11,2,2,1,0,5,2,2,100.0,2,0,0,0,3,0,0,0,0,2,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,1,0,0,1,0,0,0,0,2,0,1,1,0.36363636363636365,0,0.2727272727272727,0.08955223880597014,0.5223880597014925,0.6119402985074627,0.0,0.09090909090909091,0.0,0.5223880597014925,0.872722688543955,0.745545859583961
values_96,177 ,29 ,73 ,37 ,250 ,66 ,1511.10 ,43229.67 ,0.03 ,28.61 ,2401.65 ,0.41 ,22,3,1,3,2,0,11,2,2,1,0,5,2,2,100.0,2,0,0,0,3,0,0,0,0,2,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,1,0,0,1,0,0,0,0,2,0,1,1,0.36363636363636365,0,0.2727272727272727,0.0821917808219178,0.4794520547945205,0.5616438356164384,0.0,0.09090909090909091,0.0,0.4794520547945205,0.8573536969266353,0.7106976106509213
values_15,192 ,29 ,82 ,46 ,274 ,75 ,1706.70 ,44114.39 ,0.04 ,25.85 ,2450.80 ,0.42 ,22,3,1,3,2,0,11,2,2,1,0,5,2,2,100.0,2,0,0,0,3,0,0,0,0,2,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,1,0,0,1,0,0,0,0,2,0,1,1,0.36363636363636365,0,0.2727272727272727,0.07317073170731707,0.4268292682926829,0.5,0.0,0.09090909090909091,0.0,0.4268292682926829,0.8345918366651439,0.6592288605207296
values_16,172 ,29 ,69 ,33 ,241 ,62 ,1434.96 ,43505.42 ,0.03 ,30.32 ,2416.97 ,0.41 ,22,3,1,3,2,0,11,2,2,1,0,5,2,2,100.0,2,0,0,0,3,0,0,0,0,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,1,0,0,1,0,0,0,0,2,0,1,1,0.36363636363636365,0,0.2727272727272727,0.08695652173913043,0.5072463768115942,0.5942028985507246,0.0,0.09090909090909091,0.0,0.5072463768115942,0.8675893948816051,0.7339183902741305
values_94,164 ,29 ,63 ,27 ,227 ,56 ,1318.27 ,44601.45 ,0.03 ,33.83 ,2477.86 ,0.42 ,22,3,1,3,2,0,11,2,2,1,0,5,2,2,100.0,2,0,0,0,3,0,0,0,0,2,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,1,0,0,1,0,0,0,0,2,0,1,1,0.36363636363636365,0,0.2727272727272727,0.09523809523809523,0.5555555555555556,0.6507936507936508,0.0,0.09090909090909091,0.0,0.5555555555555556,0.88300109460018,0.7687418407663261
values_90,166 ,29 ,65 ,29 ,231 ,58 ,1353.19 ,43978.79 ,0.03 ,32.50 ,2443.27 ,0.42 ,22,3,1,3,2,0,11,2,2,1,0,5,2,2,100.0,2,0,0,0,3,0,0,0,0,2,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,1,0,0,1,0,0,0,0,2,0,1,1,0.36363636363636365,0,0.2727272727272727,0.09230769230769231,0.5384615384615384,0.6307692307692307,0.0,0.09090909090909091,0.0,0.5384615384615384,0.8778612837003373,0.7571601119131675
values_52,157 ,29 ,59 ,23 ,216 ,52 ,1231.29 ,45798.82 ,0.03 ,37.20 ,2544.38 ,0.43 ,22,3,1,3,2,0,11,2,2,1,0,5,2,2,100.0,2,0,0,0,3,0,0,0,0,2,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,1,0,0,1,0,0,0,0,2,0,1,1,0.36363636363636365,0,0.2727272727272727,0.1016949152542373,0.5932203389830508,0.6949152542372881,0.0,0.09090909090909091,0.0,0.5932203389830508,0.8932665567434946,0.7917276663711151
values_78,177 ,29 ,73 ,37 ,250 ,66 ,1511.10 ,43229.67 ,0.03 ,28.61 ,2401.65 ,0.41 ,22,3,1,3,2,0,11,2,2,1,0,5,2,2,100.0,2,0,0,0,3,0,0,0,0,2,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,1,0,0,1,0,0,0,0,2,0,1,1,0.36363636363636365,0,0.2727272727272727,0.0821917808219178,0.4794520547945205,0.5616438356164384,0.0,0.09090909090909091,0.0,0.4794520547945205,0.8573536969266353,0.7106976106509213
values_20,175 ,29 ,70 ,34 ,245 ,63 ,1464.43 ,43717.65 ,0.03 ,29.85 ,2428.76 ,0.41 ,22,3,1,3,2,0,11,2,2,1,0,5,2,2,100.0,2,0,0,0,3,0,0,0,0,2,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,1,0,0,1,0,0,0,0,2,0,1,1,0.36363636363636365,0,0.2727272727272727,0.08571428571428572,0.5,0.5857142857142857,0.0,0.09090909090909091,0.0,0.5,0.8650259374601575,0.7281055520234063
values_53,184 ,29 ,78 ,42 ,262 ,71 ,1611.23 ,43388.22 ,0.04 ,26.93 ,2410.46 ,0.41 ,22,3,1,3,2,0,11,2,2,1,0,5,2,2,100.0,2,0,0,0,3,0,0,0,0,2,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,1,0,0,1,0,0,0,0,2,0,1,1,0.36363636363636365,0,0.2727272727272727,0.07692307692307693,0.44871794871794873,0.5256410256410257,0.0,0.09090909090909091,0.0,0.44871794871794873,0.8446514208068117,0.681912730779764
values_43,161 ,29 ,61 ,25 ,222 ,54 ,1277.59 ,45200.96 ,0.03 ,35.38 ,2511.16 ,0.42 ,22,3,1,3,2,0,11,2,2,1,0,5,2,2,100.0,2,0,0,0,3,0,0,0,0,2,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,1,0,0,1,0,0,0,0,2,0,1,1,0.36363636363636365,0,0.2727272727272727,0.09836065573770492,0.5737704918032787,0.6721311475409836,0.0,0.09090909090909091,0.0,0.5737704918032787,0.8881377459180813,0.7802711547968737
values_42,180 ,29 ,73 ,37 ,253 ,66 ,1529.23 ,43748.43 ,0.03 ,28.61 ,2430.47 ,0.41 ,22,3,1,3,2,0,11,2,2,1,0,5,2,2,100.0,2,0,0,0,3,0,0,0,0,2,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,1,0,0,1,0,0,0,0,2,0,1,1,0.36363636363636365,0,0.2727272727272727,0.0821917808219178,0.4794520547945205,0.5616438356164384,0.0,0.09090909090909091,0.0,0.4794520547945205,0.8573536969266353,0.7106976106509213
values_0,169 ,29 ,65 ,29 ,234 ,58 ,1370.77 ,44549.95 ,0.03 ,32.50 ,2475.00 ,0.42 ,22,3,1,3,2,0,11,2,2,1,0,5,2,2,100.0,2,0,0,0,3,0,0,0,0,2,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,1,0,0,1,0,0,0,0,2,0,1,1,0.36363636363636365,0,0.2727272727272727,0.09230769230769231,0.5384615384615384,0.6307692307692307,0.0,0.09090909090909091,0.0,0.5384615384615384,0.8778612837003373,0.7571601119131675
values_61,196 ,29 ,83 ,47 ,279 ,76 ,1743.17 ,44636.32 ,0.04 ,25.61 ,2479.80 ,0.42 ,22,3,1,3,2,0,11,2,2,1,0,5,2,2,100.0,2,0,0,0,3,0,0,0,0,2,0,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,1,0,0,1,0,0,0,0,2,0,1,1,0.36363636363636365,0,0.2727272727272727,0.07228915662650602,0.42168674698795183,0.49397590361445787,0.0,0.09090909090909091,0.0,0.42168674698795183,0.8320937864863238,0.6536200816557214
values_97,171 ,29 ,66 ,30 ,237 ,59 ,1394.19 ,44474.55 ,0.03 ,31.90 ,2470.81 ,0.42 ,22,3,1,3,2,0,11,2,2,1,0,5,2,2,100.0,2,0,0,0,3,0,0,0,0,2,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,1,0,0,1,0,0,0,0,2,0,1,1,0.36363636363636365,0,0.2727272727272727,0.09090909090909091,0.5303030303030303,0.6212121212121212,0.0,0.09090909090909091,0.0,0.5303030303030303,0.8752915721890736,0.7513558298154369
values_14,189 ,29 ,81 ,45 ,270 ,74 ,1676.55 ,43758.02 ,0.04 ,26.10 ,2431.00 ,0.41 ,22,3,1,3,2,0,11,2,2,1,0,5,2,2,100.0,2,0,0,0,3,0,0,0,0,2,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,1,0,0,1,0,0,0,0,2,0,1,1,0.36363636363636365,0,0.2727272727272727,0.07407407407407407,0.43209876543209874,0.5061728395061729,0.0,0.09090909090909091,0.0,0.43209876543209874,0.8370969181066674,0.6648641194578051
values_87,173 ,29 ,70 ,34 ,243 ,63 ,1452.48 ,43360.77 ,0.03 ,29.85 ,2408.93 ,0.41 ,22,3,1,3,2,0,11,2,2,1,0,5,2,2,100.0,2,0,0,0,3,0,0,0,0,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,1,0,0,1,0,0,0,0,2,0,1,1,0.36363636363636365,0,0.2727272727272727,0.08571428571428572,0.5,0.5857142857142857,0.0,0.09090909090909091,0.0,0.5,0.8650259374601575,0.7281055520234063
values_50,168 ,29 ,66 ,30 ,234 ,59 ,1376.54 ,43911.58 ,0.03 ,31.90 ,2439.53 ,0.41 ,22,3,1,3,2,0,11,2,2,1,0,5,2,2,100.0,2,0,0,0,3,0,0,0,0,2,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,1,0,0,1,0,0,0,0,2,0,1,1,0.36363636363636365,0,0.2727272727272727,0.09090909090909091,0.5303030303030303,0.6212121212121212,0.0,0.09090909090909091,0.0,0.5303030303030303,0.8752915721890736,0.7513558298154369
values_83,182 ,29 ,76 ,40 ,258 ,69 ,1576.00 ,43418.78 ,0.04 ,27.55 ,2412.15 ,0.41 ,22,3,1,3,2,0,11,2,2,1,0,5,2,2,100.0,2,0,0,0,3,0,0,0,0,2,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,10,0,0,16,14,14,6,1,0,0,1,0,0,0,0,2,0,1,1,0.36363636363636365,0,0.2727272727272727,0.07894736842105263,0.4605263157894737,0.5394736842105263,0.0,0.09090909090909091,0.0,0.4605263157894737,0.8497173300182767,0.6933803599476972
